,"COVID-19 cases in Kerala, India (vte) Deaths Recoveries Active cases Jan Jan Feb Feb Mar Mar Apr Apr May May Jun Jun Jul Jul Aug Aug Last 15 days Last 15 days","COVID-19 cases in Kerala, India (vte) Deaths Recoveries Active cases Jan Jan Feb Feb Mar Mar Apr Apr May May Jun Jun Jul Jul Aug Aug Last 15 days Last 15 days.1","COVID-19 cases in Kerala, India (vte) Deaths Recoveries Active cases Jan Jan Feb Feb Mar Mar Apr Apr May May Jun Jun Jul Jul Aug Aug Last 15 days Last 15 days.2","COVID-19 cases in Kerala, India (vte) Deaths Recoveries Active cases Jan Jan Feb Feb Mar Mar Apr Apr May May Jun Jun Jul Jul Aug Aug Last 15 days Last 15 days.3","COVID-19 cases in Kerala, India (vte) Deaths Recoveries Active cases Jan Jan Feb Feb Mar Mar Apr Apr May May Jun Jun Jul Jul Aug Aug Last 15 days Last 15 days.4"
0,Date,Date,,# of cases,# of deaths
1,30-01-2020,30-01-2020,​,1(n.a.),
2,01-02-2020,01-02-2020,​,1(=),
3,02-02-2020,02-02-2020,​,2(+100%),
4,03-02-2020,03-02-2020,​,3(+50%),
5,⋮,⋮,​,3(=),
6,08-03-2020,08-03-2020,​ ​,8(+167%),
7,09-03-2020,09-03-2020,​ ​,8(=),
8,10-03-2020,10-03-2020,​ ​,14(+75%),
9,11-03-2020,11-03-2020,​ ​,14(=),
10,12-03-2020,12-03-2020,​ ​,19(+36%),
11,13-03-2020,13-03-2020,​ ​,22(+16%),
12,14-03-2020,14-03-2020,​ ​,22(=),
13,15-03-2020,15-03-2020,​ ​,24(+9.1%),
14,16-03-2020,16-03-2020,​ ​,27(+12%),
15,17-03-2020,17-03-2020,​ ​,27(=),
16,18-03-2020,18-03-2020,​ ​,27(=),
17,19-03-2020,19-03-2020,​ ​,28(+3.7%),
18,20-03-2020,20-03-2020,​ ​,40(+43%),
19,21-03-2020,21-03-2020,​ ​,52(+30%),
20,22-03-2020,22-03-2020,​ ​,67(+29%),
21,23-03-2020,23-03-2020,​ ​,95(+42%),
22,24-03-2020,24-03-2020,​ ​,109(+15%),
23,25-03-2020,25-03-2020,​ ​,118(+8.3%),
24,26-03-2020,26-03-2020,​ ​,137(+16%),
25,27-03-2020,27-03-2020,​ ​,176(+28%),
26,28-03-2020,28-03-2020,​ ​ ​,182(+3.4%),1(n.a.)
27,29-03-2020,29-03-2020,​ ​ ​,202(+11%),1(=)
28,30-03-2020,30-03-2020,​ ​ ​,234(+16%),1(=)
29,31-03-2020,31-03-2020,​ ​ ​,241(+3%),2(+1)
30,01-04-2020,01-04-2020,​ ​ ​,265(+10%),2(=)
31,02-04-2020,02-04-2020,​ ​ ​,286(+7.9%),2(=)
32,03-04-2020,03-04-2020,​ ​ ​,295(+3.1%),2(=)
33,04-04-2020,04-04-2020,​ ​ ​,306(+3.7%),2(=)
34,05-04-2020,05-04-2020,​ ​ ​,314(+2.6%),2(=)
35,06-04-2020,06-04-2020,​ ​ ​,327(+4.1%),2(=)
36,07-04-2020,07-04-2020,​ ​ ​,335(+2.4%),2(=)
37,08-04-2020,08-04-2020,​ ​ ​,344(+2.7%),2(=)
38,09-04-2020,09-04-2020,​ ​ ​,356(+3.5%),2(=)
39,10-04-2020,10-04-2020,​ ​ ​,363(+2%),2(=)
40,11-04-2020,11-04-2020,​ ​ ​,373(+2.8%),2(=)
41,12-04-2020,12-04-2020,​ ​ ​,375(+0.54%),2(=)
42,13-04-2020,13-04-2020,​ ​ ​,378(+0.8%),2(=)
43,14-04-2020,14-04-2020,​ ​ ​,386(+2.1%),2(=)
44,15-04-2020,15-04-2020,​ ​ ​,387(+0.26%),2(=)
45,16-04-2020,16-04-2020,​ ​ ​,394(+1.8%),2(=)
46,17-04-2020,17-04-2020,​ ​ ​,395(+0.25%),2(=)
47,18-04-2020,18-04-2020,​ ​ ​,399(+1%),2(=)
48,19-04-2020,19-04-2020,​ ​ ​,401(+0.5%),2(=)
