Date,,,cases,deaths
30-01-2020,,,1(n.a.),
01-02-2020,,,1(=),
02-02-2020,,?,2(+100%),
03-02-2020,,?,3(+50%),
?,,?,3(=),
08-03-2020,,?,8(+167%),
,,?,,
09-03-2020,,?,8(=),
,,?,,
10-03-2020,,?,14(+75%),
,,?,,
11-03-2020,,?,14(=),
,,?,,
12-03-2020,,?,19(+36%),
,,?,,
13-03-2020,,?,22(+16%),
,,?,,
14-03-2020,,?,22(=),
,,?,,
15-03-2020,,?,24(+9.1%),
,,?,,
16-03-2020,,?,27(+12%),
,,?,,
17-03-2020,,?,27(=),
,,?,,
18-03-2020,,?,27(=),
,,?,,
19-03-2020,,?,28(+3.7%),
,,?,,
20-03-2020,,?,40(+43%),
,,?,,
21-03-2020,,?,52(+30%),
,,?,,
22-03-2020,,?,67(+29%),
,,?,,
23-03-2020,,?,95(+42%),
,,?,,
24-03-2020,,?,109(+15%),
,,?,,
25-03-2020,,?,118(+8.3%),
,,?,,
26-03-2020,,?,137(+16%),
,,?,,
27-03-2020,,?,176(+28%),
,,?,,
28-03-2020,,?,182(+3.4%),1(n.a.)
,,?,,
29-03-2020,,?,202(+11%),1(=)
,,?,,
30-03-2020,,?,234(+16%),1(=)
,,?,,
31-03-2020,,?,241(+3%),2(+1)
,,?,,
,,?,,
01-04-2020,,?,265(+10%),2(=)
,,?,,
,,?,,
02-04-2020,,?,286(+7.9%),2(=)
,,?,,
,,?,,
03-04-2020,,?,295(+3.1%),2(=)
,,?,,
,,?,,
04-04-2020,,?,306(+3.7%),2(=)
,,?,,
,,?,,
05-04-2020,,?,314(+2.6%),2(=)
,,?,,
,,?,,
06-04-2020,,?,327(+4.1%),2(=)
,,?,,
,,?,,
07-04-2020,,?,335(+2.4%),2(=)
,,?,,
,,?,,
08-04-2020,,?,344(+2.7%),2(=)
,,?,,
,,?,,
09-04-2020,,?,356(+3.5%),2(=)
,,?,,
,,?,,
10-04-2020,,?,363(+2%),2(=)
,,?,,
,,?,,
11-04-2020,,?,373(+2.8%),2(=)
,,?,,
,,?,,
12-04-2020,,?,375(+0.54%),2(=)
,,?,,
,,?,,
13-04-2020,,?,378(+0.8%),2(=)
,,?,,
,,?,,
14-04-2020,,?,386(+2.1%),2(=)
,,?,,
,,?,,
15-04-2020,,?,387(+0.26%),2(=)
,,?,,
,,?,,
16-04-2020,,?,394(+1.8%),2(=)
,,?,,
,,?,,
17-04-2020,,?,395(+0.25%),2(=)
,,?,,
,,?,,
18-04-2020,,?,399(+1%),2(=)
,,?,,
,,?,,
19-04-2020,,?,401(+0.5%),2(=)
,,?,,
,,?,,
20-04-2020,,?,407(+1.5%),2(=)
,,?,,
,,?,,
21-04-2020,,?,426(+4.7%),2(=)
,,?,,
,,?,,
22-04-2020,,?,437(+2.6%),2(=)
,,?,,
,,?,,
23-04-2020,,?,447(+2.3%),2(=)
,,?,,
,,?,,
24-04-2020,,?,450(+0.67%),3(+1)
,,?,,
,,?,,
25-04-2020,,?,457(+1.6%),3(=)
,,?,,
,,?,,
26-04-2020,,?,468(+2.4%),3(=)
,,?,,
,,?,,
27-04-2020,,?,481(+2.8%),3(=)
,,?,,
,,?,,
28-04-2020,,?,485(+0.83%),3(=)
,,?,,
,,?,,
29-04-2020,,?,495(+2.1%),3(=)
,,?,,
,,?,,
30-04-2020,,?,497(+0.4%),3(=)
,,?,,
,,?,,
01-05-2020,,?,497(=),3(=)
,,?,,
,,?,,
02-05-2020,,?,499(+0.4%),3(=)
,,?,,
,,?,,
03-05-2020,,?,499(=),3(=)
,,?,,
,,?,,
04-05-2020,,?,499(=),3(=)
,,?,,
,,?,,
05-05-2020,,?,502(+0.6%),3(=)
